year,geo_name,geo,income
2016,Census Tract 1,14000US53033000100,48002
2016,Census Tract 10,14000US53033001000,75167
2016,Census Tract 100.01,14000US53033010001,61699
2016,Census Tract 100.02,14000US53033010002,68579
2016,Census Tract 101,14000US53033010100,59193
2016,Census Tract 102,14000US53033010200,92714
2016,Census Tract 103,14000US53033010300,58321
2016,Census Tract 104.01,14000US53033010401,58958
2016,Census Tract 104.02,14000US53033010402,80931
2016,Census Tract 105,14000US53033010500,71535
2016,Census Tract 106,14000US53033010600,88320
2016,Census Tract 107.01,14000US53033010701,59493
2016,Census Tract 107.02,14000US53033010702,41951
2016,Census Tract 108,14000US53033010800,80618
2016,Census Tract 109,14000US53033010900,60128
2016,Census Tract 11,14000US53033001100,73984
2016,Census Tract 110.01,14000US53033011001,23904
2016,Census Tract 110.02,14000US53033011002,50259
2016,Census Tract 111.01,14000US53033011101,51907
2016,Census Tract 111.02,14000US53033011102,61593
2016,Census Tract 112,14000US53033011200,34605
2016,Census Tract 113,14000US53033011300,47600
2016,Census Tract 114.01,14000US53033011401,58241
2016,Census Tract 114.02,14000US53033011402,49014
2016,Census Tract 115,14000US53033011500,83457
2016,Census Tract 116,14000US53033011600,111426
2016,Census Tract 117,14000US53033011700,65772
2016,Census Tract 118,14000US53033011800,44599
2016,Census Tract 119,14000US53033011900,70655
2016,Census Tract 12,14000US53033001200,42232
2016,Census Tract 120,14000US53033012000,90688
2016,Census Tract 121,14000US53033012100,113958
2016,Census Tract 13,14000US53033001300,63077
2016,Census Tract 14,14000US53033001400,70689
2016,Census Tract 15,14000US53033001500,100179
2016,Census Tract 16,14000US53033001600,102558
2016,Census Tract 17.01,14000US53033001701,66042
2016,Census Tract 17.02,14000US53033001702,65984
2016,Census Tract 18,14000US53033001800,81680
2016,Census Tract 19,14000US53033001900,67450
2016,Census Tract 2,14000US53033000200,63727
2016,Census Tract 20,14000US53033002000,90855
2016,Census Tract 21,14000US53033002100,89900
2016,Census Tract 22,14000US53033002200,134792
2016,Census Tract 24,14000US53033002400,111964
2016,Census Tract 25,14000US53033002500,101397
2016,Census Tract 26,14000US53033002600,99583
2016,Census Tract 260.01,14000US53033026001,72079
2016,Census Tract 264,14000US53033026400,45027
2016,Census Tract 265,14000US53033026500,36733
2016,Census Tract 27,14000US53033002700,118790
2016,Census Tract 28,14000US53033002800,100859
2016,Census Tract 29,14000US53033002900,96685
2016,Census Tract 3,14000US53033000300,65781
2016,Census Tract 30,14000US53033003000,93155
2016,Census Tract 31,14000US53033003100,100468
2016,Census Tract 32,14000US53033003200,84846
2016,Census Tract 33,14000US53033003300,92746
2016,Census Tract 34,14000US53033003400,103333
2016,Census Tract 35,14000US53033003500,83550
2016,Census Tract 36,14000US53033003600,65960
2016,Census Tract 38,14000US53033003800,91875
2016,Census Tract 39,14000US53033003900,110556
2016,Census Tract 4.01,14000US53033000401,32196
2016,Census Tract 4.02,14000US53033000402,61184
2016,Census Tract 40,14000US53033004000,74915
2016,Census Tract 41,14000US53033004100,146902
2016,Census Tract 42,14000US53033004200,113432
2016,Census Tract 43.01,14000US53033004301,73667
2016,Census Tract 43.02,14000US53033004302,22880
2016,Census Tract 44,14000US53033004400,53763
2016,Census Tract 45,14000US53033004500,91538
2016,Census Tract 46,14000US53033004600,120938
2016,Census Tract 47,14000US53033004700,75881
2016,Census Tract 48,14000US53033004800,106338
2016,Census Tract 49,14000US53033004900,72256
2016,Census Tract 5,14000US53033000500,126544
2016,Census Tract 50,14000US53033005000,66594
2016,Census Tract 51,14000US53033005100,98851
2016,Census Tract 52,14000US53033005200,40208
2016,Census Tract 53.01,14000US53033005301,14155
2016,Census Tract 53.02,14000US53033005302,10865
2016,Census Tract 54,14000US53033005400,86250
2016,Census Tract 56,14000US53033005600,159652
2016,Census Tract 57,14000US53033005700,102760
2016,Census Tract 58.01,14000US53033005801,69865
2016,Census Tract 58.02,14000US53033005802,66455
2016,Census Tract 59,14000US53033005900,88706
